start_date,end_date,ppo,a2c,ddpg,model
2020-04-02,2020-07-01,-0.3814709710890406,-0.3185501789035058,-0.2139747425230402,DDPG
2020-07-02,2020-09-30,0.0736554214633564,0.1273754272025198,0.1480728224166669,DDPG
2020-10-01,2020-12-30,0.1360971493775161,0.251543640550706,0.1463555226532786,A2C
2020-12-31,2021-04-01,0.3651395365557079,0.3272722366323782,0.3660463636780594,DDPG
2021-04-05,2021-07-01,0.1045620705872776,0.3381705367957772,0.2873969526363569,A2C
2021-07-02,2021-09-30,0.114687664548522,-0.0037883139737886,0.0664200377437562,PPO
2021-10-01,2021-12-30,-0.1702404338658516,-0.1892726813124409,-0.0880802573394314,DDPG
2021-12-31,2022-03-31,0.3150773193331291,0.2681243055974435,0.239830451333297,PPO
2022-04-01,2022-07-01,-0.3763834394664274,-0.3445493645250799,-0.1656619811744836,DDPG
2022-07-05,2022-09-30,-0.2571355603375369,-0.1693312992597526,0.0145899900162973,DDPG
2022-10-03,2022-12-30,-0.2923157640784148,-0.1575239279963176,-0.14012167966433,DDPG
2023-01-03,2023-04-03,0.2384580523351005,0.3203495741809128,0.3864422307197548,DDPG
2023-04-04,2023-07-05,0.0885835182261857,0.0885182910492131,0.0427810693478312,PPO
2023-07-06,2023-10-03,0.0226328524418539,0.1115361012762618,0.1329204028561607,DDPG
2023-10-04,2024-01-03,-0.4135398136266571,-0.2675094044383264,-0.0872265320805292,DDPG
2024-01-04,2024-04-04,0.5577739196354786,0.4759494673924555,0.4346303341790031,PPO
2024-04-05,2024-07-05,0.2798768887423735,0.2361537543996745,0.279816758480664,PPO
2024-07-08,2024-10-03,-0.1233435305350875,0.0213372756890838,0.1084810868529315,DDPG
