start_date,end_date,ppo,a2c,ddpg,model
2020-04-02,2020-07-01,-0.3915047965220145,-0.3137858485555762,-0.3380382077100183,A2C
2020-07-02,2020-09-30,0.075197798476494,0.1795363762114316,0.1610228795636827,A2C
2020-10-01,2020-12-30,0.0951082784314194,0.1897005729419233,0.2326496902738098,DDPG
2020-12-31,2021-04-01,0.3371599594664994,0.2818990486742706,0.306625480194526,PPO
2021-04-05,2021-07-01,0.246006227770573,0.428941963190923,0.4611337731268928,DDPG
2021-07-02,2021-09-30,0.0122700753647886,0.1402077538131007,0.1019011626966816,A2C
2021-10-01,2021-12-30,-0.0657838519812139,-0.0867512085023568,-0.0344377314893625,DDPG
2021-12-31,2022-03-31,0.3044020967793161,0.1067593397516769,0.2204999933168907,PPO
2022-04-01,2022-07-01,-0.2412907291930773,-0.2011821043311822,-0.4486092573207727,A2C
2022-07-05,2022-09-30,-0.148105581227547,-0.199337593159517,-0.1900873015771057,PPO
2022-10-03,2022-12-30,-0.3221330092923252,-0.2825576777579921,-0.1780938111500316,DDPG
2023-01-03,2023-04-03,0.2870260566909233,0.3610283393626826,0.4043280627168958,DDPG
2023-04-04,2023-07-05,0.047388419843443,0.1407659584568052,0.0393332090328361,A2C
2023-07-06,2023-10-03,0.0930306477153504,0.1983579796261544,0.1715046683429222,A2C
2023-10-04,2024-01-03,-0.1103491138366078,-0.3626364685167454,-0.268512923268842,PPO
2024-01-04,2024-04-04,0.3484828925168959,0.5386862578357378,0.4710992346646181,A2C
2024-04-05,2024-07-05,0.3910558604735559,0.2428131791432344,0.0428844913792407,PPO
2024-07-08,2024-10-03,-0.0558734398671982,-0.3673984828768089,0.1089893744497524,DDPG
