,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
0,20090102,AAPL,2.7339963912963867,3.067142963409424,3.2514290809631348,3.041429042816162,746015200,0.0,100.0,66.66666666666667,100.0,0.0
1,20090102,AXP,14.978856086730955,18.56999969482422,19.520000457763672,18.399999618530277,10955700,0.0,100.0,66.66666666666667,100.0,0.0
2,20090102,BA,33.94110107421875,42.79999923706055,45.560001373291016,42.77999877929688,7010200,0.0,100.0,66.66666666666667,100.0,0.0
3,20090102,CAT,30.490795135498047,44.90999984741211,46.97999954223633,44.709999084472656,7117200,0.0,0.0,66.66666666666667,100.0,0.0
4,20090105,AAPL,2.849381446838379,3.327500104904175,3.434999942779541,3.311070919036865,1181608400,0.0025887672717752608,100.0,66.66666666666667,100.0,0.0
5,20090105,AXP,15.459287643432615,19.200000762939453,20.239999771118164,19.0,16019200,0.010778913131126444,100.0,66.66666666666667,100.0,0.0
6,20090105,BA,34.63116455078125,45.5,46.810001373291016,44.79999923706055,6917400,0.0154821933844147,100.0,66.66666666666667,100.0,0.0
7,20090105,CAT,29.9512939453125,46.900001525878906,47.119998931884766,45.810001373291016,11098700,-0.012104193369545158,0.0,66.66666666666667,100.0,0.0
8,20090106,AAPL,2.8023838996887207,3.426785945892334,3.4703569412231445,3.299643039703369,1289310400,0.001841212215538679,70.35536506504249,46.89419275204644,100.0,0.0
9,20090106,AXP,16.327184677124023,20.299999237060547,21.3799991607666,20.01000022888184,13820200,0.04064790988405953,100.0,99.99999999999979,100.0,0.0
10,20090106,BA,34.736183166503906,46.84999847412109,47.0,45.5,7180300,0.022984008372922915,100.0,66.74147601337047,100.0,0.0
11,20090106,CAT,29.76930809020996,46.790000915527344,46.79999923706055,45.40999984741211,10863400,-0.021066515353140858,0.0,-68.86004534823425,49.43991030964077,0.0
12,20090107,AAPL,2.741828441619873,3.2789289951324463,3.3035709857940674,3.2235710620880127,753048800,-0.0007302456648745626,50.429008604555825,-29.646350310414,46.00749599097872,0.0
13,20090107,AXP,15.63939094543457,20.530000686645508,20.71999931335449,19.82999992370605,15699900,0.02840420736113991,65.18729489473469,34.37561650880768,81.58375378702439,0.0
14,20090107,BA,33.57356643676758,45.09999847412109,45.61000061035156,44.16999816894531,6586200,-0.01614313300886039,39.096874780074764,-48.43372025002379,0.8098922175749149,0.0
